title,mediaType,eps,duration,ongoing,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes
Code Geass Movie: Lelouch of the Re;surrection,Movie,1,112,No,,"He gave up his life to save the world and protect the ones he loved. The day Lelouch vi Brittannia fell was the day this war-torn world found peace. Now, as his friends work to keep the peace, a terrorist attack could risk everything. Can the brilliant tactician outwit death and save them all? Or will Lelouch’s legacy fall here?",['Sunrise'],"['Mecha', 'Sci Fi', 'Real Robot', 'Original Work']","['Nudity', 'Violence']",2768,156,6199,28,4.379,1790
Aria the Origination,TV,13,,No,Winter,"The water-laden city of Neo-Venezia is a haven for tourists and dream chasers. While in the city, gondoliers known as Undines ferry the visitors from place to place, showing them the sights or simply lending a sympathetic ear. Akari Mizunashi is an apprentice at the Aria Company, one of three companies in the city, and wishes to be promoted someday to the title of Prima. With the help of her friends, Akari accomplishes many things including helping to shuttle frequent visitors to the unknown sights of the city, gazing at beautiful paintings, and pondering the existence of the planet before it was called Aqua.",['Hal Film Maker'],"['Shounen', 'Slice of Life', 'Apprenticeship', 'Iyashikei', 'Ocean', 'Work Life', 'Based on a Manga']",[],3198,224,4294,205,4.378,2245
T-sensei,Other,14,3,No,,"Male nursery teacher ""T-sensei"" shares the often comedic experiences of his life taking care of children.",[],"['Comedy', 'Slice of Life', 'Childcare', 'School Life', 'Short Episodes', 'Teaching', 'Based on a Manga']",[],18,7,228,6,4.376,10
Land of the Lustrous,TV,12,,No,Fall,"In the distant future, microscopic organisms have left the planet desolate and given way to a new life form: Houseki. However, all is not peaceful. The 28 Houseki must fight against the Moon Dwellers, beings who attack them without discrimination and use their shattered bodies as decorations. For this reason, each Houseki is assigned a role, whether it be a fighter or a medic. Phosphophyllite, or Phos, is the youngest of their kin, and has not been given an assignment due to a lack of skill. Everything changes when Kongou, the leader of the Houseki, assigns Phos the task of creating an encyclopedia of natural history.",['Orange'],"['Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen', 'Non-Human Protagonists', 'Based on a Manga', 'CG Animation']",[],5470,590,4298,331,4.376,4554
Redline,Movie,1,101,No,,"In a time where hover cars reign supreme and wheeled vehicles are a thing of the past, one group of dedicated speedsters aim for the ultimate goal: to compete in the notorious ""Redline"" race. In a no-holds-barred battle where anything goes from nitro boosters to all-out warfare and dirty tactics, competitors must be prepared for anything. Having lost out in the qualifying Yellowline race, ""Sweet"" JP finally gets the chance to participate in Redline as a substitute. However, with his car requiring a total rebuild, the Roboworld government using all their military might to prevent the race from happening, and host of the universe’s best racers – including the beautiful Sonoshee Mclaren – to contend with, can JP go for glory and take the checkered flag?",['MADHOUSE'],"['Action', 'Romance', 'Sci Fi', 'Sports', 'Aliens', 'Cars', 'Racing', 'Original Work']",['Nudity'],11775,151,4863,73,4.375,9152
Youjo Senki: Saga of Tanya the Evil,TV,12,,No,Winter,"It is June of the year CE 1923. A young girl with blond hair and blue eyes, Tanya Degurechaff, has entered the final curriculum of the Imperial Military Academy and is training at the third patrol line in the northern military district, the Norden Theater, as part of her service to the force. Her training, the first step toward a brilliant career as an aviation mage, should have gone off without a hitch... but things took an unexpected turn.",['Studio NUT'],"['Action', 'Fantasy', 'Seinen', 'Guns', 'Isekai', 'Magic', 'Military', 'Person in a Strange World', 'Reincarnation', 'War', 'Based on a Light Novel']",['Violence'],19169,2462,6726,1077,4.374,15213
JoJo's Bizarre Adventure (2012),TV,26,,No,Fall,"When Jonathan Joestar was just a baby, his mother tragically died in a carriage accident, and his father George was saved by the kindness of a stranger, Dario Brando. At least, that's what George believed, unbeknownst to him that Dario was just attempting to steal from the victims. Thus, when Dario later dies and his son, Dio, comes to his doorstep, the wealthy George eagerly adopts the boy. But what should have become a budding friendship between two siblings quickly becomes a nightmare for poor Jonathan, as Dio is cruel, calculating and will go to great lengths to become George's primary heir. Little does Jonathan know that this unfortunate childhood is only the harbinger of things to come...",['David Production'],"['Action', 'Shounen', 'Hand to Hand Combat', 'Supernatural', 'Based on a Manga']","['Animal Abuse', 'Explicit Violence', 'Mature Themes']",22470,4087,6308,1250,4.374,17943
Log Horizon,TV,25,,No,Fall,"With over 20 million players worldwide, Elder Tale is one of the hottest online RPGs. At least, it used to be only a game, until the fateful day that tens of thousands of players became stuck in the virtual world, unable to log out. For these would-be knights, healers and magicians, Elder Tale is no longer a hobby, it’s a reality, complete with tasteless in-game food, revivals upon death, and boring NPC conversations! With no other options than to accept their fates, the analytical Shiroe, perverted-and-proud Naotsugu, tiny and adorable Akatsuki and other new friends must adjust to their new lives in Elder Tale, avoiding player killers and monsters along the way!",['Satelight'],"['Adventure', 'Fantasy', 'Sci Fi', 'Economics', 'Guilds', 'Isekai', 'MMORPG', 'Overpowered Main Characters', 'Person in a Strange World', 'RPG', 'Trapped in a Video Game', 'Based on a Light Novel']",[],41874,4974,12753,2343,4.372,33452
Patema Inverted,Movie,1,99,No,,"Princess Patema lives in an underground world,​ but one day tumbles headlong into a void and out into the wide open world above the surface.​ Age is a student on this surface world when he spies Patema hanging upside-down from a tree.​ He pulls her down to safety,​ struggling to keep her earthbound.​ Together they master the art of navigating competeing gravitational forces and set out to discover the secret that keeps their worlds apart.​",['Studio Rikka'],"['Adventure', 'Sci Fi', 'Dystopia', 'Isolated Society', 'Outside World', 'Post-apocalyptic', 'Original Work']",[],9705,174,6379,50,4.372,7351
Made in Abyss: Hourou Suru Tasogare,Movie,1,,No,,"The mystery surrounding her mother's disappearance deepens as Riko learns more about the truth of her origins. More determined than ever to travel to the bottom of the Abyss, Riko and Reg leave Ozen's Seeker Camp and delve into the treacherous Third Layer — and beyond.",['Kinema Citrus'],"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci Fi', 'Androids', 'Curse', 'Dark Fantasy', 'Non-Human Protagonists', 'Orphans', 'Recap', 'Robots']",[],585,72,2242,8,4.369,325
Black Lagoon,TV,12,,No,Spring,"Rokuro Okajima is a small-time salaryman who is carrying documents for his company, when the ship he's traveling on is attacked by pirates. Kidnapped, he discovers to his dismay that his employers' main concern is to ensure the documents don't get into the wrong hands, even if it means sending the carrier to the bottom of the sea. Now, with his former life ruined and his kidnappers seeming comparatively friendly, ""Rock"" decides to join their merry band of mercenaries, and sets out with a new career to the shadier corners of the South China Sea.",['MADHOUSE'],"['Action', 'Seinen', 'Gangs', 'Guns', 'Lifestyle Change', 'Mercenaries', 'Based on a Manga']",['Violence'],49657,2930,17507,1784,4.371,38607
Hinamatsuri,TV,12,,No,Spring,"Nitta Yoshifumi, a young, intellectual yakuza, lived surrounded by his beloved pots in his turf in Ashikawa. But one day, a girl, Hina, arrives in a strange object, and uses her telekinetic powers to force Nitta to allow her to live with him, putting an end to his leisurely lifestyle. Hina tends to lose control of herself, wreaking havoc both at school and in Nitta's organization. Though troubled, he finds himself taking care of her. What will become of this strange arrangement? It's the beginning of the dangerous and lively story of a nice-guy outlaw and psychokinetic girl!",['feel.'],"['Comedy', 'Sci Fi', 'Seinen', 'Slice of Life', 'Childcare', 'Gangs', 'Iyashikei', 'Lifestyle Change', 'Person in a Strange World', 'Psychic Powers', 'Reverse Isekai', 'Superpowers', 'Yakuza', 'Based on a Manga']",[],8181,1410,4066,426,4.371,6833
Trigun: Badlands Rumble,Movie,1,90,No,,"Finding himself yet again in the wrong place at the wrong time, Vash the Stampede is caught in the middle of a bank robbery by the notorious robber Gasback. However, when things take a turn for the worst and the robber's comrades turn on him, Vash saves Gasback's life and both Gasback and his traitorous partners escape. Twenty years later, Gasback is rumored to be planning something big. Bounty hunters from all over the world are gathering in Macca City, the predicted target, to try their luck at his $$300 million bounty. But what business does Vash have in Macca City, and who is the mysterious girl that he keeps following around?",['MADHOUSE'],"['Action', 'Desert', 'Guns', 'Overpowered Main Characters', 'Western', 'Based on a Manga']",['Violence'],13824,146,6044,50,4.371,9561
Ascendance of a Bookworm,TV,14,,No,Fall,"Avid bookworm and college student Motosu Urano ends up dying in an unforeseen accident. This came right after the news that she would finally be able to work as a librarian like she had always dreamed of. When she regained consciousness, she was reborn as Myne, the daughter of a poor soldier. She was in the town of Ehrenfest, which had a harsh class system. But as long as she had books, she didn't really need anything else. However, books were scarce and belonged only to the nobles. But that doesn't stop her, so she makes a decision... ""If there aren't any books, I'll just create some.""",['Ajia-do'],"['Drama', 'Fantasy', 'Cheats', 'Isekai', 'Magic', 'Medieval', 'Modern Knowledge', 'Person in a Strange World', 'Reincarnation', 'Based on a Light Novel']",[],5304,1358,2803,275,4.37,4169
Gintama,TV,201,,No,Spring,"In Gintoki's Japan, the arrival of the various space races known collectively as the Amanto ended the era of the samurai. The Amanto's highly advanced technology resulted in total conquest and a severe economic shift. Now, former samurai such as Gintoki scrape together whatever livelihood they can. Gintoki's profession of choice is that of a yorozuya: he'll complete any job for money. However, he’s unmotivated; and spending most of the day on the couch with the latest issue of Jump and a carton of Strawberry Milk is his preferred pastime. It turns out that his new unpaid employees, Shinpachi and Kagura, are going to interfere with his pastime even more than with his ""work""! Of course, none of this means he has really given up on his samurai ideologies!",['Sunrise'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],15506,12354,17429,4154,4.37,21095
Spice and Wolf,TV,13,,No,Winter,"Since long ago, the wolf goddess Holo has honored a contract to bless the rural village of Pasloe with fertile harvests; and in return she has been celebrated and worshipped by the villagers. But as mankind advances, the people have begun to take command of nature for themselves and have made their own god to worship. Holo finds that she is paid little more than lip service, if not outright mocked; and considering the contract annulled, she takes human form and enlists the aid of a passing merchant, Kraft Lawrence, to return to her home in the snowy forests to the north. As they journey together, Kraft finds that he has plenty to learn from this capricious god, and she from him as well.",['IMAGIN'],"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Adult Couples', 'Animal Characteristics', 'Animal Transformation', 'Economics', 'God-Human Relationship', 'Gods', 'Interspecies Relationship', 'Mature Romance', 'Medieval', 'Non-Human Protagonists', 'Based on a Light Novel']",[],42329,3272,18731,2389,4.369,33413
Baby Steps 2,TV,25,,No,Spring,The second season's story picks up at a Florida academy where rival players practice and clash in order to promote their rankings. For Eiichirou this is not only his first time being abroad but a first chance to face competitors from around the world.,['Studio Pierrot'],"['Shounen', 'Sports', 'Tennis', 'Tournaments', 'Based on a Manga']",[],3864,497,1103,88,4.368,3062
Kamisama Kiss,TV,13,,No,Fall,"Nanami used to live in a ramshackle apartment with her father - a man who spent half his time gambling and the other half hiding from debt collectors - until one day the scoundrel ran away, leaving his daughter hungry and homeless. That is, until she meets a mysterious stranger in the park who deems her the new goddess of a local shrine! Unfortunately, Nanami’s new home is occupied by Tomoe, a fox familiar who objects to the presence of a mere mortal and immediately begins to bicker with the girl. If she can manage to form a contract with the troublesome man, he’ll be obligated to accept and help her perform her duties. But there’s a catch: Nanami has to kiss him first, and who’d want to lock lips with that awful guy?!",['TMS Entertainment'],"['Comedy', 'Fantasy', 'Romance', 'Shoujo', 'Animal Characteristics', 'Gods', 'Interspecies Relationship', 'Japanese Mythology', 'Master-Servant Relationship', 'Non-Human Protagonists', 'Youkai', 'Based on a Manga']",[],32923,2139,9380,829,4.368,23686
"The Garden of Sinners Movie 3: Ever Cry, Never Life. (Remaining Sense of Pain)",Movie,1,56,No,,"On a solemn night in July 1998, teenager Fujino Asagami is mercilessly raped by a street gang in a dilapidated bar. No matter what physical or sexual abuse they deal, however, the girl regards her captors with the same apathetic expression. The next day, mangled bodies are discovered in that same building, so torn apart that investigators find it infeasible to even consider the culprit human...",['ufotable'],"['Drama', 'Mystery', 'Overpowered Main Characters', 'Supernatural', 'Based on a Light Novel']","['Drug Use', 'Explicit Sex', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Sexual Abuse']",10012,114,3448,37,4.368,7496
The House of Small Cubes,Movie,1,12,No,,"An old man resides in a city mostly submerged by water, living in a home he had to build on top of his old one. His daily routine now consists of smoking his pipe, drinking wine, watching television and eating the fish he catches. Living alone in the silent desolation of the elderly he is surrounded by photographs but no people. One day he drops his pipe into the water and it disappears into his old, submerged home. To retrieve it he rents a scuba suit, but once he descends into the place he used to live he is overwhelmed by the memories of the life he used to have - the family he used to know.",['Oh production'],"['Drama', 'Fantasy', 'Aging', 'Loneliness', 'Melancholy', 'No Dialogue', 'Ocean', 'Shorts', 'Original Work']",[],5869,57,3032,30,4.367,4577
Gintama: Jump Festa 2014,Other,1,25,No,,,['Sunrise'],"['Comedy', 'Shounen', 'Gag', 'Parody', 'Slapstick', 'Based on a Manga']",[],2108,36,1259,23,4.366,1329
Wu Geng Ji 3rd Season,Web,21,,Yes,,Third season of Wu Geng Ji.,[],"['Action', 'Fantasy', 'Ancient China', 'Chinese Animation', 'Based on a Manga', 'CG Animation']",[],,50,140,1,4.366,19
Black Lagoon: Roberta's Blood Trail,OVA,5,34,No,,"When someone kills Diego Lovelace, the only man to have been kind to 'the Maid' Roberta, any shred of faith and hope left within her is destroyed. For her, the only recourse is to find those responsible - allegedly agents of the United States of America - and make them suffer the same fate as her late master. Meanwhile in Roanapur, the mafia bosses are getting nervous about the world's deadliest woman running wild and drawing the attention of a superpower to their comfortable nest of sins. When Diego's son, Garcia Lovelace, arrives asking the Black Lagoon company to track her down, this seems the perfect opportunity to avert disaster. But can they stop Roberta before she reaches the United States Army and, inevitably, brings their wrath upon all of Roanapur?",['MADHOUSE'],"['Action', 'Seinen', 'Gangs', 'Guns', 'Mercenaries', 'Revenge', 'Based on a Manga']","['Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Violence']",14955,1695,5949,144,4.366,11534
Haikyuu!! Riku vs Kuu,OVA,2,23,No,,"In the Miyagi Prefecture qualifiers for the Spring Tournament, Karasuno High School Volleyball Team manages to defeat Shiratorizawa Academy in an intense battle and secures their spot in the national tournament. Meanwhile in the Tokyo qualifiers, Nekoma High School, Fukurodani High School, Nohebi Academy, and Itachiyama Academy fight for the 3 slots to go to nationals. Will Nekoma High School be able to secure their spot in the tournament? Will we able to see a rematch of Nekoma and Karasuno’s Battle of the Garbage Dump on a national level? The Tokyo qualifiers are about to begin!!",['Production I.G'],"['Shounen', 'Sports', 'School Club', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],3080,146,1496,10,4.361,1741
When Marnie Was There,Movie,1,103,No,,"When shy, artistic Anna moves to the seaside to live with her aunt and uncle, she stumbles upon an old mansion surrounded by marshes, and the mysterious young girl, Marnie, who lives there. The two girls instantly form a unique connection and friendship that blurs the lines between fantasy and reality. As the days go by, a nearly magnetic pull draws Anna back to the Marsh House again and again, and she begins to piece together the truth surrounding her strange new friend.",['Studio Ghibli'],"['Drama', 'Coming of Age', 'Based on a Novel']",[],9013,129,6388,54,4.364,6515
Sekai-ichi Hatsukoi: World's Greatest First Love 2,TV,12,,No,Fall,"Because Ritsu Onodera hates to rely on family connections he quits a job as a literature editor at his parents' company, Onodera Publishing, and winds up taking a job at Marukawa Books. To his chagrin, he is assigned to the shōjo manga department in spite of having no interest or experience in it. And on top of that, he has an awful first impression of his high-handed editor-in-chief, Masamune Takano.",['Studio Deen'],"['BL', 'Comedy', 'Drama', 'Romance', 'Shounen-ai', 'Adult Couples', 'Boss-Employee Relationship', 'Coworkers', 'Editors', 'LGBT Themes', 'Manga Industry', 'Mature Romance', 'Neighbors', 'Otaku Culture', 'Romantic Comedy', 'Work Life', 'Yaoi Hand Syndrome', 'Based on a Manga']",['Sexual Content'],12238,707,3157,182,4.364,8242
Magi: Adventure of Sinbad,TV,13,,No,Spring,"Thirty years before the events of Magi, a brave and handsome young man named Sinbad set sail and started his adventure. The future High King of Seven Seas gradually matured through various encounters and farewells, taking him towards kingship step by step.",['Lay-duce'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Animeism', 'Magic', 'Middle Eastern', 'Orphans', 'Overpowered Main Characters', 'Based on a Manga']","['Animal Abuse', 'Mature Themes']",14703,1030,5273,330,4.363,9913
March Comes in like a Lion,TV,22,,No,Fall,"Rei Kiriyama is a 17-year-old professional shogi player who suffers from anxiety, depression, and loneliness. Unwanted by his relatives after he loses his family in an accident, and resented by his adopted family's children, Rei moves into his own apartment in Tokyo to avoid inconveniencing others. He uses his talent at shogi to earn a living, but doesn't take care of himself, and is reluctant to ask others for help. Soon after his arrival, the boy meets the Kawamoto family: a trio of sisters and their grandfather who run a traditional Japanese pastry shop. They too have dealt with pain and loss, but their warmth and loving-kindness are balm for Rei's anguished spirit.",['Shaft'],"['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Coming of Age', 'Lifestyle Change', 'Loneliness', 'Melancholy', 'Mental Illness', 'Orphans', 'Psychological', 'Based on a Manga']",[],6888,1860,6920,683,4.363,6171
Hozuki's Coolheadedness 2nd Season: Part II,TV,13,,No,Spring,Continuation of Hozuki's Coolheadedness 2nd Season.,['Studio Deen'],"['Comedy', 'Seinen', 'Afterlife', 'Coworkers', 'Dark Comedy', 'Demons', 'Episodic', 'Gag', 'Hell', 'Japanese Mythology', 'Non-Human Protagonists', 'Parody', 'Satire', 'Slapstick', 'Supernatural', 'Based on a Manga']",[],1158,193,1014,23,4.361,838
A Certain Scientific Railgun T,TV,15,,Yes,Winter,"Mikoto Misaka and her friends prepare for the Daihasei Festival, a seven-day athletic competition between esper schools. Academy City opens to the public for the event, but with the whole town abuzz, no one notices when trouble stirs behind the scenes.",['J.C. Staff'],"['Action', 'Sci Fi', 'Elemental Powers', 'Psychic Powers', 'Supernatural', 'Superpowers', 'Based on a Manga']",[],,1825,2939,43,4.365,638
InuYasha: The Final Act,TV,26,,No,Fall,"Naraku has completely tainted the Shikon jewel, and with only a few shards left to claim, he’ll soon be invincible. Inuyasha, Kagome and the rest of their companions are the only ones who stand in the man’s way, and he’ll stop at nothing to see their demise. But the motley crew of heroes has their own personal hurdles to overcome on the way to victory, such as Kagome settling her rivalry with Kikyo, Sango coming to terms with her living corpse of a brother, Miroku’s impending demise from his ever-widening wind tunnel, and Inuyasha’s quest to discover the true purpose of the two swords left to he and his brother, Sesshomaru. One thing’s for sure, the gang’s struggles will only make them stronger as they prepare for the biggest battle in the history of feudal Japan!",['Sunrise'],"['Fantasy', 'Shounen', 'Animal Characteristics', 'Demons', 'Feudal Japan', 'Person in a Strange World', 'Time Travel', 'Based on a Manga']",[],20012,1576,7706,413,4.361,13758
Dorohedoro,TV,12,,No,Winter,"The city of Hole is a desolate town where magic users go to test their powers by disfiguring or killing its people. After being cursed by a sorceror, Kaiman was left with the body of a man and the head of a lizard. Determined to break the spell over him, Kaiman works with his companion, Nikaido, to search for the one who made him this way. Unfortunately, with no memory as to his assailant’s identity there’s only one way for him to locate them: he must bite the head of any magic user he meets so that the man hidden inside him can determine if they are the culprit. As he bites, slashes and kills his way through the cruel magic users, will Kaiman be able to find out who the man in his mouth is, where the one he hunts is hiding and return to normal, while keeping the revengeful magic users at bay?",['Mappa'],"['Action', 'Fantasy', 'Horror', 'Mystery', 'Seinen', 'Curse', 'Dark Fantasy', 'Demons', 'Magic', 'Psychological', 'Supernatural', 'Based on a Manga']",['Explicit Violence'],2436,1018,2841,147,4.361,2185
Fate/stay night: Unlimited Blade Works Prologue,TV Special,1,48,No,,"Rin Tohsaka, a young girl, finds her father's memento. All it has is a catalyst and a pendant. She sets out to summon Saber, a powerful spirit.",['ufotable'],"['Action', 'Fantasy', 'Magic', 'Proxy Battles', 'Superpowers']",[],11998,109,3019,39,4.36,7864
Working!!! Lord of the Takanashi,TV Special,1,50,No,,"Inami blames herself for Takanashi's current mindset and decides to fix it. Takanashi's mother kidnaps him, and Inami must fight his sisters to save him.",['A-1 Pictures'],"['Comedy', 'Romance', 'Seinen', 'Slice of Life', 'Androphobia', 'Coworkers', 'Restaurants', 'Work Life', 'Based on a 4-Koma Manga', 'Based on a Manga']",[],3971,71,1674,30,4.359,2792
Welcome to the NHK!,TV,24,,No,Summer,"Tatsuhiro Sato is a university dropout and a ""hikikomori"" – a person suffering from social withdrawal. To Sato’s dismay, his self-imposed exile from the world is rudely interrupted when a mysterious girl knocks on his door. She has charged herself with the task of curing Sato of his hikikimori ways! Now, as new problems ranging from hentai games to internet suicide spring up, can Sato manage to overcome his hermit-like ways, or will the imaginary N.H.K conspiracy force him to remain a hikikomori forever?",['GONZO'],"['Comedy', 'Drama', 'Slice of Life', 'Dark Comedy', 'Loneliness', 'Mental Illness', 'NEET', 'Otaku Culture', 'Parody', 'Psychological', 'Satire', 'Based on a Light Novel']","['Mature Themes', 'Nudity', 'Suicide']",29440,2275,14112,1933,4.359,24549
Assassination Classroom,TV,22,,No,Winter,A humorous and action-packed story about a class of misfits who are trying to kill their new teacher – an alien octopus with bizarre powers and super strength! The teacher has just destroyed the moon and is threatening to destroy the earth – unless his students can destroy him first. What makes things more complicated is that he's the best teacher they've ever had!,['Lerche'],"['Action', 'Comedy', 'Sci Fi', 'Shounen', 'Aliens', 'Assassins', 'Non-Human Protagonists', 'Overpowered Main Characters', 'Parody', 'School Life', 'Teaching', 'Based on a Manga']",[],40534,5687,10822,2183,4.359,31326
Ghost in the Shell: Stand Alone Complex - Solid State Society,Movie,1,105,No,,"In the year 2034, two years after Major Motoko Kusanagi abruptly left Section 9, Togusa now leads the members of the elite counter cyber-terrorism team. After a hostage crisis, a mysterious ultra-wizard class hacker known only as the ""Puppet Master"" uncovers a vast conspiracy that leads to even the highest levels of government. When Kusanagi suddenly reappears, even the members of Section 9 begin to suspect that she may be in league with the mysterious ""Puppet Master"". Can Section 9 learn to trust the Major again before time runs out?",['Production I.G'],"['Action', 'Sci Fi', 'Cyberpunk', 'Cyborgs', 'Hacking', 'Noir', 'Police', 'Based on a Manga']","['Explicit Violence', 'Mature Themes', 'Suicide']",14444,162,6866,72,4.358,9151
Lupin III: Part V,TV,24,,No,Spring,"Lupin’s current target: a key to a certain server facility. Once obtained, the information of all the customers and their funds from the world’s largest online bank will be in Lupin’s hands. There, they find the developer of the security system of the bank: Amlita. Lupin and Jigen successfully capture Amlita and bring her to their hideout. However, almost immediately upon their arrival, Zenigata and his men surround the place. Being at a loss as to why their location was exposed so easily, they discover an online show going viral. The show’s name: ""Arrest Lupin III.""",['Telecom Animation Film'],"['Action', 'Comedy', 'Criminals', 'Thieves']",[],711,268,864,62,4.358,619
Princess Jellyfish,TV,11,,No,Fall,"Tsukimi is an otaku and jellyfish enthusiast whose only means of coping with the world is to reject it: she and her friends live in a house they declare a man-free zone, generally avoid 'stylish people', and spend their days blissfully bonding over geeky rituals. As misfortune would have it, their convenient existence is about to be turned on its head by the arrival of Kuranosuke, a seemingly beautiful young woman who is actually a beautiful young man. While he may be strange even by their standards, Kuranosuke embodies everything Tsukimi secretly dreams of being - a princess as ethereal as a floating jellyfish - and promises the kind of mind-boggling adventures only possible when geek meets chic!",[],"['Comedy', 'Josei', 'Apartment Life', 'Boarding House', 'Crossdressing', 'Fashion', 'Neighbors', 'noitaminA', 'Based on a Manga']",[],13351,703,5675,402,4.357,10426
Nichijou: My Ordinary Life,TV,26,,No,Spring,"Yuuko, Mio and Mai are regular high school girls who lead a normal everyday life. However, with bizarre explosions causing random objects to rain down on their heads, lunch turning into an epic battle between girl and wiener, and students riding to school on goats, their lives are anything but ordinary. Meanwhile android Nano spends her days wishing she were a normal human, but keeping house for her creator, the playful and immature child genius Hakase, dealing with talking cat Sakamoto, and trying to keep a hold of her multitude of easily-detachable body parts, her dream is far from a reality...",['Kyoto Animation'],"['Comedy', 'Shounen', 'Slice of Life', 'Androids', 'Episodic', 'Gag', 'Robots', 'School Life', 'Slapstick', 'Based on a Manga']",[],13769,3516,10103,1328,4.357,12954
Promare,Movie,1,121,No,,"30 years ago, a massive firestorm tore through half of the world's cities, bringing the planet to its knees and giving birth to fire-wielding mutants known as Burnish. Now, a powerful mutant terrorist group who calls themselves Mad Burnish, lead by the soft-spoken Lio, threatens to destroy the earth again in a blaze of hellfire. The only thing that stands in their way is the Burning Rescue Fire Department and their hot-headed leader Galo. As these two burning forces collide, with the world as their battlefield, who will come out victorious?",['Studio Trigger'],"['Action', 'Sci Fi', 'Elemental Powers', 'Firefighters', 'Supernatural', 'Superpowers', 'Original Work']",[],1980,132,3409,15,4.355,1472
Wan Sheng Jie,Web,12,4,No,,,[],"['Comedy', 'Fantasy', 'Chinese Animation', 'Short Episodes', 'Based on a 4-Koma Manga', 'Based on a Manga']",[],20,85,90,1,4.369,50
Beyond the Boundary Movie: I'll Be Here - Future,Movie,1,90,No,,"One year after the events of the original series. Mirai has lost her memories, and Akihito separates himself from her in an attempt to protect her from her painful past. Despite the heartache it brings him, Akihito is determined to protect Mirai's happiness as she moves through life as a normal human being - but when dark forces stir, she may be forced back to the front lines in the fight against the youmu, and re-open the wounds of her past.",['Kyoto Animation'],"['Action', 'Drama', 'Fantasy', 'Amnesia', 'Contemporary Fantasy', 'Magic', 'Urban Fantasy', 'Based on a Light Novel']",['Violence'],6971,137,4874,46,4.356,4690
Detective Conan Movie 15: Quarter of Silence,Movie,1,110,No,,"When a tunnel bombing nearly claims the life of its target, the governor of Tokyo, Conan takes the case to find the culprit. His investigation leads him to the snowy mountain village of Kitanosawa, but when he arrives there, he finds that the sleepy town has plenty of secrets. After learning that the local nurse’s son was found unconscious at the foot of a hill on the same night as a hit-and-run eight years earlier, the young detective finds the coincidence all too suspicious - especially when another tragic event occurs soon after. Now Conan must to find out what really happened on the mountain that night many years ago, and what relevance it all has to the recent attempt on Governor Asakura’s life.",['TMS Entertainment'],"['Action', 'Mystery', 'Shounen', 'Age Transformation', 'Detectives', 'Thriller', 'Based on a Manga']",[],3652,34,1452,17,4.355,2001
Overlord II,TV,13,,No,Winter,"Continuing his quest to rule this new world, Ains begins to put the pieces in place for his conquest. But between a Lizard Man tribe uprising, and performing missions as adamantite adventurer Momonga, Ains has his work cut out for him! Thankfully he has his most loyal and willing subordinates to do his bidding.",['MADHOUSE'],"['Action', 'Fantasy', 'Sci Fi', 'Dark Fantasy', 'Magic', 'Overpowered Main Characters', 'Person in a Strange World', 'RPG', 'Skeletons', 'Trapped in a Video Game', 'Virtual Reality', 'Based on a Light Novel']","['Mature Themes', 'Physical Abuse', 'Violence']",23940,2403,5119,315,4.354,17313
Detective Conan Movie 13: The Raven Chaser,Movie,1,111,No,,"Following a string of six murders, the police have set up a meeting with Kogorou and officers from various prefectures in order to solve the case. Afterwards, Conan realizes that the Black Corporation - who fed him the Apotoxin-4869 that turned him into a child - had infiltrated the meeting; he decides to investigate the murders himself and get closer to those who drugged him. After a chance meeting with Vermouth, Conan discovers that one of the murder victims was an undercover agent for the syndicate, and that a memory card containing a database of all their covert envoys is now in the murderer’s possession. Now Conan must discover the identity of the killer and retrieve the data before the corporation, as well as try to find out which officer is actually the disguised agent codenamed ‘Irish’. But with someone secretly investigating him, is Conan’s true identity about to be revealed?",['TMS Entertainment'],"['Action', 'Drama', 'Mystery', 'Shounen', 'Age Transformation', 'Conspiracy', 'Detectives', 'Police', 'Thriller', 'Based on a Manga']",[],5112,29,1659,22,4.354,2768
Ghost in the Shell: Stand Alone Complex - The Laughing Man,Movie,1,140,No,,"In the year 2024, Ernest Serano was kidnapped and ransomed; the event was known as the Laughing Man incident due to the involvement of a world-class hacker of the same name. Six years later, the police force Section 9 finds itself in the midst of a terrorist plot and conspiracy unlike anything they've ever known. The Laughing Man - with the ability to hack into even the eyes of those around him - has returned, and his motives are unclear. The Major, Batou, and the rest of Section 9 must race against the clock to determine the reason for the Laughing Man's re-emergence and unravel the twisted conspiracy of major corporations around them...",['Production I.G'],"['Sci Fi', 'Cyberpunk', 'Cyborgs', 'Hacking', 'Noir', 'Based on a Manga']",[],9845,104,5145,52,4.353,5692
