title,mediaType,eps,duration,ongoing,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes
The Asterisk War (2016),TV,12,,No,Spring,"Upon Rikka, the academy-city above water, or what many call the “Asterisk,” students of the six schools prepare for the Festa. These annual comprehensive battle tournaments are held on a worldwide scale and each of the six schools place their hopes in their teams to bring them victory. In the Phoenix Festa (tag-team battle) category, Seidoukan Academy's Ayato Amagiri takes up the challenge along with his partner Julis, the Witch of the Resplendent Flames (Glühen Rose).",['A-1 Pictures'],"['Action', 'Harem', 'Romance', 'Sci Fi', 'Tournaments', 'Based on a Light Novel']",['Violence'],14168,1174,3560,390,3.899,9771
One Piece: Episode of Skypiea,TV Special,1,105,No,,"Luffy and his crew meet a descendant of Noland the Liar, who tells them how to reach Sky Island. There, a strange and incredible country awaits, so long as the Merry can survive a wild ride to the sky!",['Toei Animation'],"['Action', 'Adventure', 'Fantasy', 'Shounen', 'Pirates', 'Recap', 'Superpowers', 'Based on a Manga']",[],1101,28,576,8,3.899,598
Fullmetal Alchemist: Reflections,DVD Special,1,56,No,,"A recap episode of the TV series, Fullmetal Alchemist.",['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen', 'Military', 'Recap', 'Siblings', 'Based on a Manga']",['Violence'],5451,61,3388,36,3.899,2816
Dogs: Bullets & Carnage,OVA,4,15,No,,"In a city laced with crime, four individuals face their own personal trials. Mihai, a middle-aged hitman, seeks closure with an old student; Badou the information dealer learns a little too much; Naoto, an orphaned girl, lives for revenge against her parents' killer; and Heine, the result of underground genetic experiments, hopes to save another like him. Each must find the strength to overcome their dilemma and continue to live in this tough world...",['David Production'],"['Action', 'Drama', 'Sci Fi', 'Seinen', 'Assassins', 'Gangs', 'Guns', 'Revenge', 'Swordplay', 'Based on a Manga']","['Explicit Violence', 'Nudity']",5480,289,3196,138,3.898,4070
Saekano: How to Raise a Boring Girlfriend,TV,12,,No,Winter,"One day, an otaku high school student Tomoya Aki has a fateful encounter with a girl. This meeting inspires Tomoya to design his very own “gal-game” featuring a heroine modeled after the girl he saw. In order to make his desire a reality, Tomoya must persuade a few eccentric “creators” such as the ace member of the art club, Eriri Spencer Sawamura and the school’s top student, Utaha Kasumigaoka to join his development team. Meanwhile, Tomoya is shocked to learn that the girl he idolized as his muse for this whole project was none other than his boring classmate, Megumi Kato!",['A-1 Pictures'],"['Comedy', 'Harem', 'Romance', 'Doujinshi Industry', 'noitaminA', 'Otaku Culture', 'Video Game Industry', 'Based on a Light Novel']",[],10649,1371,6566,814,3.897,8605
Kantai Collection: Kan Colle Movie,Movie,1,,No,,,['diomedea'],"['Action', 'Anthropomorphic', 'Military', 'Military School', 'Ocean', 'School Life', 'War', 'Based on a Video Game']",[],751,35,1210,15,3.898,537
Broken Blade TV,TV,12,,No,Spring,"Cruzon, a land where people are born with the power to control quartz. This power allows them to control giant complex battle suits called Golems. Rygart Arrow is an un-sorcerer, a rare individual who does not have the ability to control quartz. One day he gets letter from the king of Cruzon, his friend from military school. The king informs Arrow that war is approaching and about the discovery of an ancient Golem that no one has been able to move. Will an un-sorcerer be the key to activating it?","['XEBEC', 'Production I.G']","['Action', 'Fantasy', 'Mecha', 'Magic', 'Military', 'War']",[],3659,357,2558,223,3.897,2602
Joshiraku OVA,OVA,1,24,No,,,['J.C. Staff'],"['Comedy', 'Shounen', 'Slice of Life', 'Apprenticeship', 'Breaking the Fourth Wall', 'Gag', 'Parody', 'Rakugo', 'Satire', 'Based on a Manga']",[],932,10,453,6,3.897,630
Date a Live: Date to Date,OVA,1,24,No,,,['AIC PLUS+'],"['Harem', 'Romance', 'Sci Fi', 'Based on a Light Novel']",[],7915,77,2252,31,3.897,5158
Otona Joshi no Anime Time 2,TV Special,3,,No,,Three tales about mature women living in modern day Japan. A wife who starts living with another man. A middle-aged single lady who ponders about the best moments in her life as she is about to go to a school reunion. A mother who has to start working while her family becomes more and more estranged from her.,"['Ashi Productions', 'Wao World', 'Bones']","['Drama', 'Slice of Life', 'Based on a Novel']",[],518,43,487,24,3.896,458
